,x_i,n,sum_1,sum_2
0,0.0,1,0.000000000000000,0.000000000000000
1,2.0,4,0.004983354152778,0.004983354152778
2,4.0,4,0.019734663111111,0.019734663111111
3,6.0,5,0.043665096716719,0.043665096716719
4,8.0,5,0.075817762512593,0.075817762512593
5,9.0,6,0.114903484929806,0.114903484929806
6,12.0,6,0.159349018320823,0.159349018320823
7,14.0,7,0.207355899528738,0.207355899528738
8,16.0,7,0.256967751452988,0.256967751452988
9,17.0,7,0.306143535425703,0.306143535425703
10,19.0,8,0.352834028608872,0.352834028608872
11,22.0,8,0.395058687421253,0.395058687421253
12,24.0,9,0.430980040190314,0.430980040190314
13,25.0,9,0.458972851731190,0.458972851731190
14,28.0,9,0.477685495458568,0.477685495458568
15,29.0,10,0.486091260581654,0.486091260581654
16,32.0,10,0.483527700127448,0.483527700127448
17,34.0,10,0.469722568273126,0.469722568273126
18,35.0,10,0.444805398567273,0.444805398567274
19,38.0,11,0.409304306475084,0.409304306475084
20,39.0,11,0.364128145917995,0.364128145917995
21,41.0,11,0.310534701186309,0.310534701186309
22,44.0,12,0.250086098201976,0.250086098201977
23,46.0,12,0.184593105168200,0.184593105168200
24,48.0,12,0.116050386237696,0.116050386237696
25,49.0,13,0.046565116294330,0.046565116294333
26,51.0,13,-0.021718408571688,-0.021718408571686
27,54.0,13,-0.086695376679143,-0.086695376679144
28,56.0,14,-0.146375469088578,-0.146375469088577
29,58.0,14,-0.198953513926038,-0.198953513926035
30,59.0,14,-0.242873210069202,-0.242873210069199
31,61.0,14,-0.276881599714999,-0.276881599715004
32,64.0,15,-0.300072326363125,-0.300072326363136
33,66.0,15,-0.311916137864491,-0.311916137864486
34,68.0,15,-0.312277562718118,-0.312277562718123
35,69.0,16,-0.301417220108593,-0.301417220108597
36,71.0,16,-0.279979741398101,-0.279979741398108
37,73.0,16,-0.248967828792097,-0.248967828792104
38,76.0,16,-0.209703474114315,-0.209703474114306
39,78.0,17,-0.163777840330856,-0.163777840330837
40,79.0,17,-0.112991720319601,-0.112991720319613
41,82.0,17,-0.059288814299147,-0.059288814299151
42,83.0,18,-0.004684340668330,-0.004684340668319
43,85.0,18,0.048808367845609,0.048808367845623
44,88.0,18,0.099250553739837,0.099250553739779
45,89.0,18,0.144847341126986,0.144847341126990
46,92.0,19,0.184011121892968,0.184011121892894
47,93.0,19,0.215416722657497,0.215416722657551
48,96.0,19,0.238046387753157,0.238046387753229
49,98.0,20,0.251222984915517,0.251222984915557
50,99.0,20,0.254630313606111,0.254630313606299
51,102.0,20,0.248319865104607,0.248319865104577
52,103.0,20,0.232703911488332,0.232703911488102
53,106.0,21,0.208535300016135,0.208535300016251
54,108.0,21,0.176874824955264,0.176874824955121
55,109.0,21,0.139047519048650,0.139047519048972
56,112.0,21,0.096589589978340,0.096589589978066
57,113.0,22,0.051188081498603,0.051188081498822
58,116.0,22,0.004615592085999,0.004615592086338
59,118.0,22,-0.041337467639795,-0.041337467639551
60,119.0,23,-0.084930494825937,-0.084930494825585
61,122.0,23,-0.124537667594941,-0.124537667596996
62,123.0,23,-0.158707840277883,-0.158707840279021
63,126.0,23,-0.186217166979994,-0.186217166981805
64,128.0,24,-0.206112535994273,-0.206112535994180
65,129.0,24,-0.217744264408908,-0.217744264413341
66,132.0,24,-0.220786938183062,-0.220786938181845
67,133.0,25,-0.215247713030007,-0.215247713031204
68,136.0,25,-0.201461902837820,-0.201461902839583
69,137.0,25,-0.180076139813870,-0.180076139808079
70,139.0,25,-0.152019882092467,-0.152019882094464
71,142.0,26,-0.118466464417439,-0.118466464416997
72,143.0,26,-0.080785276749583,-0.080785276753886
73,146.0,26,-0.040486993091022,-0.040486993093509
74,147.0,26,0.000836004646022,0.000836004641315
75,149.0,27,0.041571678064444,0.041571678055334
76,152.0,27,0.080150459670532,0.080150459660217
77,153.0,27,0.115105094729155,0.115105094781029
78,156.0,28,0.145125911015140,0.145125911076320
79,157.0,28,0.169109460704308,0.169109460708569
80,159.0,28,0.186198720643290,0.186198720650282
81,161.0,28,0.195813403081568,0.195813403173815
82,164.0,29,0.197669302144667,0.197669302084250
83,166.0,29,0.191786035323608,0.191786035313271
84,167.0,29,0.178483006502150,0.178483006486204
85,169.0,29,0.158363842012293,0.158363841939718
86,171.0,30,0.132290018040065,0.132290017907508
87,174.0,30,0.101344801412547,0.101344801252708
88,176.0,30,0.066788967207374,0.066788967465982
89,177.0,31,0.030010101247538,0.030010100803338
90,179.0,31,-0.007532514630976,-0.007532514631748
91,181.0,31,-0.044365251869255,-0.044365252135321
92,184.0,31,-0.079057492588381,-0.079057493014261
93,186.0,32,-0.110276768321778,-0.110276767984033
94,187.0,32,-0.136839570080712,-0.136839569546282
95,189.0,32,-0.157755906332093,-0.157755906693637
96,192.0,33,-0.172265928759351,-0.172265929169953
97,194.0,33,-0.179867284976837,-0.179867286235094
98,196.0,33,-0.180332215968844,-0.180332215502858
99,197.0,33,-0.173713817071888,-0.173713818192482
100,199.0,34,-0.160341351208451,-0.160341349430382
